Accuracy,Precision,Recall,F1_Score,Sensitivity,Specificity,Youden_Index,PPV,NPV,MCC,F0.5,F1.0,F2.0,ROC_AUC,PR_AUC,mean_error,std_error,median_error,min_error,max_error,q25_error,q75_error,q95_error,Variant,Threshold
0.965,0.9434571890145396,1.0,0.970906068162926,1.0,0.9158653846153846,0.9158653846153846,0.9434571890145396,1.0,0.9295589175974543,0.954248366013072,0.970906068162926,0.988155668358714,0.964432132507903,0.9277810229254759,0.00465113,0.0037574186,0.005077065,0.00016156647,0.026538845,0.0008504187571816146,0.00685340806376189,0.010667219571769236,Clean (SNR=∞),0.0028259380503893932
0.931,0.8979907264296755,0.9948630136986302,0.9439480097481722,0.9948630136986302,0.8413461538461539,0.836209167544784,0.8979907264296755,0.9915014164305949,0.8624392641333144,0.9158259773013872,0.9439480097481722,0.9738518270197788,0.9587518111169652,0.9252118755352401,0.0072387904,0.0039306865,0.00724567,0.001657639,0.02768426,0.003750281990505755,0.00937738292850554,0.013475924031808969,SNR_30dB,0.005338171326480054
0.886,0.8405797101449275,0.9931506849315068,0.9105180533751962,0.9931506849315068,0.7355769230769231,0.72872760800843,0.8405797101449275,0.9870967741935484,0.7766277774048544,0.8672248803827751,0.9105180533751962,0.9583608724388631,0.9416244072708115,0.9102311892092481,0.010648903,0.0040388303,0.010506405,0.004225191,0.033872284,0.007113008410669863,0.012958153383806348,0.0172120189294219,SNR_20dB,0.008118243784540229
0.605,0.5973223480947477,0.9931506849315068,0.7459807073954984,0.9931506849315068,0.06009615384615385,0.053246838777660566,0.5973223480947477,0.8620689655172413,0.15640056013887976,0.649059982094897,0.7459807073954984,0.8769277290595706,0.6852319876185458,0.7422537159808522,0.047034103,0.006795229,0.046456374,0.030854985,0.08614381,0.04223776329308748,0.051356520503759384,0.059058552607893944,SNR_10dB,0.03532276867013989
